iter	RMSE
0	76621.82938
1	72221.36207
2	68078.01406
3	64268.7188
4	60517.25573
5	57224.17645
6	54219.1659
7	51391.55794
8	48903.9268
9	46775.56327
10	44519.64394
11	43088.31209
12	41530.26282
13	39618.10202
14	38204.07628
15	36816.39606
16	35722.01433
17	34748.34908
18	33438.89355
19	32585.80803
20	31451.05119
21	30607.9574
22	29846.09937
23	29207.21425
24	28573.88349
25	27877.22959
26	27382.18333
27	26839.18759
28	26318.25945
29	25729.61295
30	25306.1811
31	24881.92801
32	24553.09724
33	24227.014
34	23998.544
35	23756.15728
36	23479.18246
37	23193.40966
38	22995.36903
39	22820.30455
40	22541.01281
41	22359.7451
42	22133.98793
43	21911.5373
44	21753.8822
45	21615.27264
46	21332.43665
47	21153.39517
48	20988.07476
49	20757.99083
50	20595.71491
51	20445.0821
52	20261.94403
53	20122.47887
54	19999.2901
55	19861.78313
56	19786.47801
57	19640.22338
58	19573.8466
59	19478.73043
60	19301.89337
61	19175.34043
62	19026.17798
63	18932.97396
64	18850.65153
65	18730.02243
66	18596.55285
67	18452.59823
68	18397.54505
69	18290.65644
70	18190.45722
71	18126.91393
72	18037.23957
73	17924.99664
74	17838.96113
75	17751.17853
76	17680.30042
77	17578.20341
78	17468.94622
79	17383.19384
80	17265.07495
81	17133.89442
82	17085.94177
83	16994.38902
84	16915.24811
85	16847.00062
86	16741.28626
87	16650.20967
88	16576.22189
89	16488.46009
90	16424.67091
91	16360.1761
92	16310.65736
93	16250.54335
94	16168.47497
95	16109.68472
96	16046.50555
97	15953.87835
98	15858.96717
99	15771.38862
100	15709.86197
101	15650.03983
102	15597.86032
103	15522.22034
104	15473.79376
105	15415.45746
106	15344.66495
107	15309.60779
108	15251.15197
109	15193.73798
110	15146.10465
111	15060.70558
112	15010.72203
113	14978.17936
114	14917.10579
115	14845.41446
116	14788.94034
117	14710.43448
118	14622.98061
119	14571.86553
120	14525.31443
121	14457.02467
122	14415.05556
123	14347.54959
124	14308.88008
125	14270.22111
126	14216.17911
127	14170.91169
128	14132.05911
129	14086.25111
130	14046.55058
131	14002.46964
132	13982.5929
133	13942.99079
134	13866.21453
135	13797.06136
136	13742.8522
137	13710.74276
138	13676.46217
139	13648.94597
140	13585.63331
141	13531.44923
142	13507.37825
143	13456.13073
144	13421.46516
145	13367.23326
146	13299.47881
147	13256.76052
148	13213.65953
149	13162.04879
150	13112.66223
151	13089.53773
152	13035.07252
153	13012.41725
154	12958.01685
155	12943.50294
156	12904.87149
157	12870.07426
158	12799.8952
159	12760.55408
160	12734.17459
161	12703.07255
162	12662.89761
163	12628.36884
164	12582.81316
165	12547.90578
166	12522.28766
167	12474.40881
168	12430.36538
169	12373.31592
170	12341.69206
171	12294.81721
172	12273.49064
173	12237.36038
174	12209.55665
175	12181.74992
176	12132.21277
177	12093.56127
178	12052.00686
179	12025.83344
180	11979.33508
181	11957.70518
182	11922.04429
183	11880.99831
184	11839.39443
185	11793.89004
186	11743.78185
187	11714.75675
188	11697.94615
189	11666.05959
190	11627.22392
191	11591.78391
192	11526.80782
193	11494.29764
194	11470.741
195	11427.76764
196	11406.03494
197	11376.26368
198	11348.79247
199	11302.53134
