iter	Passed	Remaining
0	9	1795
1	9	977
2	10	708
3	11	572
4	12	489
5	13	433
6	14	393
7	15	363
8	15	339
9	16	321
10	17	305
11	18	290
12	19	279
13	20	273
14	21	263
15	22	256
16	23	248
17	23	242
18	24	236
19	25	230
20	26	225
21	27	220
22	28	216
23	28	212
24	29	208
25	30	204
26	31	201
27	32	197
28	33	194
29	33	192
30	34	189
31	35	186
32	36	184
33	37	182
34	38	179
35	39	177
36	39	175
37	40	173
38	41	171
39	42	169
40	43	167
41	44	165
42	44	163
43	45	161
44	46	160
45	47	158
46	48	156
47	48	155
48	50	154
49	51	153
50	52	152
51	52	150
52	53	149
53	54	147
54	55	146
55	56	144
56	57	143
57	57	141
58	58	140
59	59	138
60	60	137
61	61	136
62	61	134
63	62	133
64	63	131
65	64	130
66	65	129
67	66	128
68	66	126
69	67	125
70	68	124
71	69	123
72	70	121
73	70	120
74	71	119
75	72	118
76	73	117
77	74	116
78	75	114
79	75	113
80	76	112
81	77	111
82	78	110
83	79	109
84	80	108
85	80	107
86	81	106
87	82	105
88	83	104
89	84	103
90	85	101
91	85	100
92	86	99
93	87	98
94	88	97
95	89	96
96	90	95
97	91	94
98	91	93
99	92	92
100	93	91
101	94	90
102	95	89
103	96	88
104	97	88
105	98	87
106	99	86
107	99	85
108	100	84
109	101	83
110	102	82
111	103	81
112	104	80
113	104	79
114	105	78
115	106	77
116	107	76
117	108	75
118	109	74
119	110	73
120	111	72
121	112	72
122	113	71
123	114	70
124	115	69
125	116	68
126	116	67
127	117	66
128	118	65
129	119	64
130	120	63
131	121	62
132	122	61
133	123	60
134	123	59
135	124	58
136	125	57
137	126	56
138	127	55
139	128	55
140	129	54
141	130	53
142	130	52
143	131	51
144	132	50
145	133	49
146	134	48
147	135	47
148	136	46
149	137	45
150	137	44
151	138	43
152	139	42
153	140	41
154	141	41
155	142	40
156	143	39
157	143	38
158	144	37
159	145	36
160	146	35
161	147	34
162	148	33
163	149	32
164	149	31
165	150	30
166	151	29
167	152	29
168	153	28
169	154	27
170	155	26
171	156	25
172	157	24
173	157	23
174	159	22
175	159	21
176	160	20
177	161	19
178	162	19
179	163	18
180	164	17
181	165	16
182	165	15
183	166	14
184	167	13
185	168	12
186	169	11
187	170	10
188	171	9
189	171	9
190	172	8
191	173	7
192	174	6
193	175	5
194	176	4
195	177	3
196	178	2
197	179	1
198	179	0
199	180	0
